"cog","subject","sex","r","c","part"
3362.391904442365,"s006",m,5,1,"informal"
4397.35868268258,"s006",m,5,1,"informal"
4766.744500637707,"s006",m,5,1,"informal"
4744.697576662627,"s006",m,5,1,"informal"
4570.782826188359,"s006",m,5,1,"informal"
5417.989603074501,"s006",m,5,1,"informal"
5847.701362252442,"s006",m,5,1,"informal"
3650.490311293811,"s006",m,5,1,"informal"
6270.144372577542,"s006",m,5,1,"informal"
5615.428446869086,"s006",m,5,1,"informal"
6204.249090610231,"s006",m,5,1,"informal"
5552.498769848409,"s006",m,5,1,"informal"
4984.937487829365,"s006",m,5,1,"informal"
5620.694902776243,"s006",m,5,1,"informal"
5643.416741020781,"s006",m,5,1,"informal"
5138.11622815918,"s006",m,5,1,"informal"
2948.23621859497,"s006",m,5,1,"informal"
3873.4491391202628,"s006",m,5,1,"informal"
5614.028168785069,"s006",m,5,1,"informal"
5462.031867929637,"s006",m,5,1,"informal"
5137.1902264126875,"s006",m,5,1,"informal"
7097.97058245485,"s006",m,5,1,"informal"
5177.916223809415,"s006",m,5,1,"informal"
5892.7870167177625,"s006",m,5,1,"informal"
7004.186116359632,"s006",m,5,1,"informal"
5618.818450937663,"s006",m,5,1,"informal"
6150.2605339432685,"s006",m,5,1,"informal"
6437.7249184201755,"s006",m,5,1,"informal"
4250.998596633391,"s006",m,5,1,"informal"
5606.061498476542,"s006",m,5,1,"informal"
4164.230060887787,"s006",m,5,1,"l1"
6561.322234516796,"s006",m,5,1,"l1"
5513.369462350219,"s006",m,5,1,"l1"
5612.936804528935,"s006",m,5,1,"l1"
3010.7834780831445,"s006",m,5,1,"l1"
4103.564060354864,"s006",m,5,1,"l1"
4748.0137183074985,"s006",m,5,1,"l1"
6273.117660899615,"s006",m,5,1,"l1"
3408.4710365663923,"s006",m,5,1,"l1"
4726.405996111006,"s006",m,5,1,"l1"
3091.4489173066736,"s006",m,5,1,"l1"
5005.8264034284,"s006",m,5,1,"l1"
567.4537125836971,"s006",m,5,1,"l1"
1130.4194017864736,"s006",m,5,1,"l1"
5904.00035859772,"s006",m,5,1,"l1"
3896.4845671179455,"s006",m,5,1,"l1"
1553.2609468647142,"s006",m,5,1,"l1"
1868.8506090895955,"s006",m,5,1,"l1"
4695.851622575148,"s006",m,5,1,"l1"
3912.3209464812376,"s006",m,5,1,"l1"
2700.412552497944,"s006",m,5,1,"l1"
3617.981326044328,"s006",m,5,1,"l1"
4401.622705312256,"s006",m,5,1,"l1"
3585.437913450591,"s006",m,5,1,"l1"
6657.401740085051,"s006",m,5,1,"l1"
3381.002293829262,"s006",m,5,1,"l1"
4168.589820856032,"s006",m,5,1,"l1"
4303.910042354215,"s006",m,5,1,"l1"
6714.928593126655,"s006",m,5,1,"l1"
3846.5836161451007,"s006",m,5,1,"l1"
3864.8289675382566,"s006",m,5,1,"l1"
3864.398880360831,"s006",m,5,1,"l1"
5959.193564098966,"s006",m,5,1,"l1"
6637.703709027478,"s006",m,5,1,"l1"
5646.805253306102,"s006",m,5,1,"l1"
6463.572594851957,"s006",m,5,1,"udhr-en"
5231.490264016953,"s006",m,5,1,"udhr-en"
6105.887932949994,"s006",m,5,1,"udhr-en"
3208.6318131225867,"s006",m,5,1,"udhr-en"
1340.6054144775107,"s006",m,5,1,"udhr-en"
5741.615120494632,"s006",m,5,1,"udhr-en"
3761.22347433383,"s006",m,5,1,"udhr-en"
6597.268578748977,"s006",m,5,1,"udhr-en"
900.8542591627686,"s006",m,5,1,"udhr-en"
6226.967409146788,"s006",m,5,1,"udhr-en"
6109.109356769851,"s006",m,5,1,"udhr-en"
7788.613609142644,"s006",m,5,1,"udhr-en"
6194.414820782108,"s006",m,5,1,"udhr-en"
4855.881547376273,"s006",m,5,1,"udhr-en"
6556.676487590618,"s006",m,5,1,"udhr-en"
6231.9256739993125,"s006",m,5,1,"udhr-en"
4692.454947318241,"s006",m,5,1,"udhr-en"
5749.145664990201,"s006",m,5,1,"udhr-en"
6965.1609559119925,"s006",m,5,1,"udhr-en"
4692.217212895602,"s006",m,5,1,"udhr-en"
6320.774121605813,"s006",m,5,1,"udhr-en"
5857.7691946874065,"s006",m,5,1,"udhr-en"
5789.991396829326,"s006",m,5,1,"udhr-en"
5434.936088304085,"s006",m,5,1,"udhr-en"
5973.227718648786,"s006",m,5,1,"udhr-en"
5881.331932872554,"s006",m,5,1,"udhr-en"
6170.306241442105,"s006",m,5,1,"udhr-en"
6229.5328256250605,"s006",m,5,1,"udhr-en"
5789.951665350542,"s006",m,5,1,"udhr-en"
5970.897154660442,"s006",m,5,1,"udhr-en"
3607.3040405959605,"s006",m,5,1,"udhr-en"
6649.502575357176,"s006",m,5,1,"udhr-en"
5789.686564541999,"s006",m,5,1,"udhr-en"
6357.396936938068,"s006",m,5,1,"udhr-en"
6746.261165884339,"s006",m,5,1,"udhr-l1"
6128.369352265106,"s006",m,5,1,"udhr-l1"
4145.701059961823,"s006",m,5,1,"udhr-l1"
5982.244631827536,"s006",m,5,1,"udhr-l1"
5632.235528185299,"s006",m,5,1,"udhr-l1"
5832.202091710795,"s006",m,5,1,"udhr-l1"
4188.893016315173,"s006",m,5,1,"udhr-l1"
7006.802107718569,"s006",m,5,1,"udhr-l1"
6338.15509227375,"s006",m,5,1,"udhr-l1"
7313.6606142364935,"s006",m,5,1,"udhr-l1"
6713.445375019986,"s006",m,5,1,"udhr-l1"
3780.520754470982,"s006",m,5,1,"udhr-l1"
6270.203721343414,"s006",m,5,1,"udhr-l1"
4086.7471277225723,"s006",m,5,1,"udhr-l1"
3819.4145556386366,"s006",m,5,1,"udhr-l1"
4815.891326231537,"s006",m,5,1,"udhr-l1"
1780.3183316857323,"s006",m,5,1,"udhr-l1"
4578.797775449625,"s006",m,5,1,"udhr-l1"
4857.790544169941,"s006",m,5,1,"udhr-l1"
2376.1969265103826,"s006",m,5,1,"udhr-l1"
5077.076740770198,"s006",m,5,1,"udhr-l1"
3828.2750255539354,"s006",m,5,1,"udhr-l1"
4814.443074568322,"s006",m,5,1,"udhr-l1"
6697.796143705936,"s006",m,5,1,"udhr-l1"
6009.614956913769,"s006",m,5,1,"udhr-l1"
4348.476832610997,"s006",m,5,1,"udhr-l1"
